ID,lnc_10,lnc_11,lnc_19,lnc_20,lnc_21,lnc_25,lnc_26,lnc_27,lnc_40,lnc_41,lnc_46,lnc_47,lnc_16,lnc_17,lnc_18,lnc_31,lnc_33,lnc_34,lnc_35,lnc_44,lnc_45,lnc_5,lnc_6,lnc_7,lnc_8,lnc_9,lnc_13,lnc_14,lnc_15,lnc_23,lnc_24,lnc_28,lnc_29,lnc_30,lnc_36,lnc_37,lnc_38,lnc_39
LINC-ARPC3-1,6.87E-05,0.000296371,5.77E-05,0.00011975,3.08E-05,5.08E-05,3.48E-05,8.75E-05,7.78E-05,0.000111089,6.65E-05,0,0.000149968,0.000108841,0.000152078,4.00E-05,3.22E-05,2.80E-05,0.000463917,4.12E-05,0,0,0.000325386,0.000225691,0.000444332,0.000224861,0,5.49E-05,0,4.35E-05,0.000148377,0.000107279,0.000148131,1.49E-05,0.000109479,2.77E-05,7.92E-05,0.000149648
LINC-ARRDC3-8,8.03E-05,4.96E-05,3.58E-05,2.90E-05,3.53E-05,1.64E-05,3.63E-05,8.18E-05,1.93E-05,7.09E-05,4.74E-05,7.68E-05,0.000123733,3.49E-05,0.000131244,3.85E-05,7.99E-05,1.74E-05,0.000246243,1.82E-05,7.64E-06,1.43E-05,0.000119397,0.000104699,0.000136952,7.08E-05,0.00013201,0.000178433,0.000121766,5.09E-05,9.13E-05,8.97E-05,0.000103936,7.20E-05,7.55E-05,3.90E-05,5.12E-05,9.70E-05
LINC-ARRDC5-1,4.01E-05,6.67E-05,6.13E-05,5.00E-05,2.66E-05,2.67E-05,5.41E-05,0.000106356,2.85E-05,5.94E-05,5.03E-05,3.39E-05,0.0002023,8.17E-05,5.97E-05,4.74E-05,3.83E-05,1.30E-05,8.87E-05,1.18E-05,1.10E-05,1.46E-05,9.96E-05,9.37E-05,0.000150221,3.24E-05,1.56E-05,0.000122958,5.91E-05,4.55E-05,9.27E-05,4.10E-05,7.50E-05,6.51E-05,7.35E-05,4.73E-05,6.83E-05,0.000105084
LINC-ARSJ-6,0.000132345,0.001621531,0.000713632,0.000365418,0.000199387,0.000456124,0.001137007,0.001884472,0.000352184,0.00139792,0.001420204,0.002374323,0.001222115,0.002482648,0.001569704,0.000913878,0.001865816,0.000344281,0.004369474,0.000708155,0.000423027,0.000852221,0.00182302,0.001243477,0.003803664,0.000209725,0.001454092,0.000824039,0,0.000600487,0.000404823,0.000690142,0.001046054,0.001829322,0.003154648,0.001161684,0.000252967,0.004434073
LINC-ASB3-11,9.68E-05,0.000227782,5.47E-05,4.85E-05,3.02E-05,3.22E-05,0.00011377,0.000329406,6.37E-05,0.000174924,0.000205336,3.41E-05,0.000414785,8.61E-05,0.000287601,4.79E-05,8.65E-05,3.54E-05,0.000162406,2.69E-05,2.71E-05,1.12E-05,0.000207224,7.38E-05,0.000479581,0.000145543,4.40E-05,0.000236799,6.59E-05,4.43E-05,0.000305302,4.53E-05,5.53E-05,0.000133786,0.000131072,3.24E-05,0.000109967,0.000132993
LINC-ASGR1-1,5.54E-05,8.66E-05,4.52E-05,5.53E-05,4.15E-05,2.11E-05,5.60E-05,6.86E-05,5.19E-05,5.45E-05,7.30E-05,5.28E-05,0.000156303,4.38E-05,0.00010869,3.75E-05,7.58E-05,1.87E-05,0.000137457,2.85E-05,2.63E-05,1.87E-05,0.000140278,0.000121836,0.000259611,7.94E-05,6.74E-05,0.000194983,6.44E-05,3.22E-05,0.000133025,2.34E-05,0.000102366,0.000119523,7.69E-05,2.93E-05,7.73E-05,9.67E-05
LINC-ASGR2-2,7.63E-05,0.000148477,9.01E-05,0.00010181,3.52E-05,1.54E-05,8.35E-05,3.90E-05,9.62E-05,0.000158252,0.000138241,0.000155767,0.000302817,5.51E-05,0.000107477,8.14E-05,7.43E-05,4.14E-05,0.000301049,6.92E-05,5.17E-05,4.75E-05,0.000223997,0.000185739,0.000462238,8.97E-05,0.000117034,0.000149528,8.76E-05,6.83E-05,0.000367801,2.67E-05,0.000202301,0.000219407,0.000169985,5.30E-05,9.50E-05,0.000212601
LINC-ASGR2-3,0.000214365,0.000207782,0.000138436,0.000146993,0.000102581,1.49E-05,0.000123776,0.000147412,0.00019576,0.000349965,0.000197012,0.000233615,0.00063704,6.77E-05,0.00026,0.000131644,0.000195421,8.13E-05,0.000366649,0.00012469,6.29E-05,6.23E-05,0.000451838,0.000395824,0.000772962,0.000134046,0.00011435,0.000530322,0.000116853,0.000144847,0.000424424,4.16E-05,0.000253477,0.000339095,0.000161072,0.000132401,0.000107328,0.000193849
LINC-ASMT-1,0.00010722,0.000132207,4.20E-05,0.000101213,5.50E-05,9.88E-06,4.48E-05,8.87E-05,1.83E-05,0.000136445,0.00011777,6.40E-05,6.50E-05,9.13E-05,6.80E-05,4.48E-05,3.44E-05,3.37E-05,0.000164339,3.27E-05,1.76E-05,1.11E-05,0.000227897,0.000118853,0.000222709,2.92E-05,2.81E-05,0.000126127,5.72E-05,4.34E-05,0.000213139,0.000131392,0.000108706,0.000102572,0.000189404,0.000176007,7.02E-05,0.000101198
LINC-ASMT-2,6.14E-05,0.000207125,0.000222298,0.000122539,6.96E-05,0,5.31E-05,9.53E-05,8.12E-05,0.00029169,0.00029687,0.000244009,7.40E-05,5.47E-05,3.53E-05,0.000129458,9.65E-05,0,3.22E-05,3.73E-05,0,2.78E-05,0.000569348,0.00011635,0.000263535,0,2.81E-05,0.000473128,7.25E-05,6.93E-05,0.000124308,0.000190075,0.000339376,0.000210154,0.000616145,0.000244869,0.000375454,0.000211054
LINC-ASMT-3,0.00031874,0.000285145,7.46E-05,3.16E-05,8.00E-05,0.000115082,0.00012333,0.000222943,6.42E-05,0.000157602,0.000214345,6.45E-05,0.000270352,0.000156637,5.78E-05,5.82E-05,0.00012076,7.84E-06,0.000160328,3.32E-05,6.70E-05,0,0.000651831,0.000308419,0.00077238,6.40E-05,0,0.000206516,0.000347607,5.28E-05,0.000284824,3.17E-05,0.000124748,6.42E-05,7.83E-05,2.20E-07,0.000196223,0.000453783
LINC-ASMT-4,0,0.000225969,0,0.000110942,5.51E-05,0,0,0.000147682,1.92E-05,0.000520384,0,2.44E-05,0,0,0,2.15E-05,0,0,6.72E-05,0,0,0,0.000336616,0,8.79E-05,0,0,0.000145038,0,0,0,0,5.21E-05,7.38E-05,0.000181796,0.000257431,9.42E-05,0
LINC-ASMT-6,0,0,0,8.06E-05,3.41E-05,0,0,0.000170472,0,0.000233065,0,0,0.000213687,0.000577073,0,0.000135794,0,0,0,0,0,0,0.000328268,0,0.000326842,0,0,0,0,0.000220239,0.00019023,0.000118724,0,0,0,0,0,0
LINC-ASMT-7,0.000162403,8.50E-05,0.00016857,0,0,0,0,0,2.94E-05,0,0.000145225,0.000142535,0,0.000195927,0,8.19E-05,0,0,0,8.52E-05,0,0,0.000131704,0.000147351,0,0,0,0.000236713,0.000149792,0,0,0.000123504,9.03E-05,0.000370198,0,0.000122972,0.000172271,8.56E-05
LINC-ASMT-9,0.000338841,0.000569805,0.000481107,0.000359649,0.000269468,9.32E-05,0.000218384,0.000420844,0.000161224,0.000424978,0.000376414,0.000213053,0.000377845,0.000274383,0.000400666,0.000222638,0.000500662,5.94E-05,0.00034327,5.00E-05,2.43E-05,8.23E-05,0.000883668,0.000286487,0.000520259,0.000218182,0.000179288,0.000435444,0.000467367,0.000147583,0.000655271,0.000305484,0.000692116,0.000565045,0.000583753,0.000595063,0.000255485,0.000803543
LINC-ASNS-1,3.97E-05,8.07E-05,0.00011595,8.76E-05,6.32E-05,8.67E-05,0.000213354,0.000211912,6.20E-05,0.000159908,0.000398684,0.000179095,0.000389305,0.000370421,0.000554455,6.74E-05,0.000141193,2.07E-05,0.000336705,3.02E-05,5.34E-05,4.29E-05,0.000282259,0.000299759,0.000663732,0.000130941,7.09E-05,0.000483354,0.000157042,0.000122531,0.000432538,3.88E-05,0.000101139,0.000141836,9.71E-05,5.08E-05,0.00013302,0.000245114
LINC-ASPH-6,0.000111177,4.64E-05,7.27E-05,7.42E-05,0.000138359,8.87E-05,0.000196766,0.000210413,6.13E-05,0.000141016,0.00025263,6.15E-05,0.000290916,0.000170386,0.00029917,4.02E-05,0.000351061,2.26E-05,0.00016654,3.95E-05,0,0,0.000551398,0.000274153,0.000475952,0,0.000128031,0.000287502,0.000134006,0.000188598,0.000361464,5.23E-05,0.00013306,0.000266116,0.000428227,5.71E-05,7.87E-05,9.10E-05
LINC-ASXL3-2,3.83E-05,0,1.32E-05,7.71E-05,5.92E-05,2.29E-05,1.45E-05,6.54E-05,4.73E-05,7.27E-05,3.25E-05,1.06E-05,9.21E-05,0.000155876,0.000154788,3.09E-05,7.30E-05,2.77E-05,0.000114306,4.73E-06,0,1.44E-05,0.000403722,3.55E-05,0.000212969,9.94E-05,3.31E-05,0.000238192,0.000232054,8.17E-05,0.000156755,3.61E-05,0.00011806,9.87E-05,7.38E-05,5.98E-05,9.05E-05,0.000153421
LINC-ASXL3-4,0.000139961,0.000299153,0.00028624,0.000208437,0.000310651,2.10E-05,0.000107588,0.00151176,0.000181667,0.000406994,0.00023649,7.63E-05,0.001504469,7.92E-05,0.000689394,0.000262104,0.000360142,2.92E-05,0.000839795,8.57E-05,6.48E-05,0,0.000936838,0.000259115,0.000705702,0.000527463,0,0.000411246,0.000407353,0.000146614,0.000575003,6.80E-05,0.000712672,0.000214225,0,0.000493616,0.000287279,0.000208665
LINC-ATAD2B-1,5.98E-05,7.35E-05,3.59E-05,5.44E-05,3.53E-05,1.96E-05,5.07E-05,0.000142728,2.98E-05,7.07E-05,8.95E-05,5.63E-05,0.000134544,9.52E-05,0.000167815,3.38E-05,9.90E-05,1.53E-05,0.000155283,2.07E-05,1.62E-05,8.72E-06,0.000180735,9.87E-05,0.000291794,5.14E-05,5.04E-05,0.000179556,6.02E-05,2.99E-05,0.000105802,3.71E-05,4.57E-05,0.000109089,6.69E-05,4.86E-05,6.16E-05,0.000148736
LINC-ATAD2B-2,0.00087027,0.000548496,0.00029345,4.68E-05,0.000328789,0.000123641,0.000363997,0.000380874,7.13E-05,0.000703624,0.000249541,0.000230228,0.000958755,0,0.000615433,0.000169935,0.000696847,2.55E-05,0.00063482,4.42E-05,0,7.84E-05,0.000855908,0.000465293,0.001890668,0.000383626,0.000220773,0.001108554,0,0.000253616,0.000769943,0.000268484,0.000208538,0.000189271,0.00023478,0,0.000124394,0.000481755
